latitude,longitude,altitude,accuracy,altitudeAccuracy,heading,speed,timestamp
7.98775835,98.30218829,13.85302734375,8.576000213623047,,229.8000030517578,7.840000152587891,1653542025597
7.98775835,98.30218829,13.85302734375,8.576000213623047,,229.8000030517578,7.840000152587891,1653542025597
7.98769365,98.30211194,13.77655029296875,9.648000717163086,,229.6999969482422,7.840000152587891,1653542027000
7.9875375,98.30215642,-0.511322021484375,3.216000080108642,,191.3000030517578,11.84000015258789,1653542028000
7.98743306,98.30216339,-1.597686767578125,3.216000080108642,,186.3000030517578,11.699999809265137,1653542029000
7.98731738,98.30214101,-1.86175537109375,3.216000080108642,,182.89999389648438,11.720000267028809,1653542030000
7.9872045,98.30214326,-0.193115234375,3.216000080108642,,179.6999969482422,11.859999656677246,1653542031000
7.98709441,98.30214975,-0.024658203125,3.216000080108642,,175.8000030517578,12.0,1653542032000
7.98698194,98.30216658,0.153472900390625,3.216000080108642,,171.5,12.569999694824219,1653542033000
7.98687607,98.3022022,-0.62286376953125,3.216000080108642,,168.60000610351562,12.739999771118164,1653542034000
7.98676239,98.30223285,-0.49932861328125,3.216000080108642,,166.0,12.75,1653542035000
7.98665162,98.30226438,-0.46646118164062506,3.216000080108642,,163.0,12.510000228881836,1653542036000
7.98654348,98.30229704,-0.515045166015625,3.216000080108642,,162.60000610351562,12.199999809265137,1653542037000
7.98643515,98.30232156,-0.6795654296875,3.216000080108642,,166.8000030517578,12.260000228881836,1653542038000
7.98632484,98.30234258,-0.516204833984375,3.216000080108642,,172.5,12.180000305175781,1653542039000
7.98621607,98.30234658,0.013671875,3.216000080108642,,181.0,11.829999923706055,1653542040000
7.98611141,98.30233197,0.05535888671875,3.216000080108642,,193.1999969482422,11.619999885559082,1653542041000
7.98601454,98.30229778,0.084014892578125,3.216000080108642,,202.60000610351562,11.470000267028809,1653542042000
7.98592419,98.30224957,-0.10317993164062501,3.216000080108642,,207.6999969482422,11.010000228881836,1653542043000
7.98584241,98.30219974,-0.8226623535156251,3.216000080108642,,211.10000610351562,10.609999656677246,1653542044000
7.98575795,98.30214894,-0.649017333984375,3.216000080108642,,212.5,10.770000457763672,1653542045000
7.98567106,98.30209553,0.58892822265625,3.216000080108642,,213.5,10.680000305175781,1653542046000
7.98558317,98.30204101,1.74200439453125,3.216000080108642,,214.10000610351562,10.390000343322754,1653542047000
7.9855009599999995,98.30199018,1.8236083984375,3.216000080108642,,213.89999389648438,10.649999618530273,1653542048000
7.98541929,98.30193853,2.51397705078125,3.216000080108642,,213.5,10.460000038146973,1653542049000
7.98533849,98.30189118,3.146087646484375,3.216000080108642,,212.8000030517578,10.300000190734863,1653542050000
7.98526187,98.30184516,3.10272216796875,3.216000080108642,,212.0,10.140000343322754,1653542051000
7.9851823,98.30179618,3.228179931640625,3.216000080108642,,212.39999389648438,9.989999771118164,1653542052000
7.98510721,98.30174519,3.955108642578125,3.216000080108642,,216.1999969482422,9.949999809265137,1653542053000
7.98504474,98.30168506,3.975677490234375,3.216000080108642,,225.89999389648438,9.789999961853027,1653542054000
7.98499422,98.30161685,3.68798828125,3.216000080108642,,236.39999389648438,9.510000228881836,1653542055000
7.98495237,98.30153932,3.64642333984375,3.216000080108642,,243.60000610351562,9.699999809265137,1653542056000
7.98492079,98.30145218,3.674652099609375,3.216000080108642,,251.60000610351562,10.0600004196167,1653542057000
7.98490312,98.30135804,3.4178466796875,3.216000080108642,,261.6000061035156,10.350000381469727,1653542058000
7.98489486,98.30126015,3.0821533203125,3.216000080108642,,268.3999938964844,10.729999542236328,1653542059000
7.98488994,98.3011561,2.748565673828125,3.216000080108642,,268.8999938964844,11.100000381469727,1653542060000
7.98488705,98.30105489,2.370849609375,3.216000080108642,,269.1000061035156,10.979999542236328,1653542061000
7.98488272,98.30095881,1.967529296875,3.216000080108642,,268.5,10.550000190734863,1653542062000
7.9848735,98.30086645,2.287109375,3.216000080108642,,266.29998779296875,10.109999656677246,1653542063000
7.98485806,98.30078097,2.234527587890625,3.216000080108642,,262.29998779296875,9.800000190734863,1653542064000
7.98483611,98.30069177,2.0206298828125,3.216000080108642,,256.0,9.9399995803833,1653542065000
7.9848060400000005,98.30060449,1.435791015625,3.216000080108642,,250.39999389648438,9.979999542236328,1653542066000
7.98476566,98.30052491000001,1.23272705078125,3.216000080108642,,245.10000610351562,9.9399995803833,1653542067000
7.98472247,98.30044556,1.353057861328125,3.216000080108642,,240.8000030517578,10.0600004196167,1653542068000
7.98467105,98.30036723,1.247222900390625,3.216000080108642,,236.1999969482422,10.1899995803833,1653542069000
7.9846170999999995,98.30029478,1.1510009765625,3.216000080108642,,232.89999389648438,9.869999885559082,1653542070000
7.98455986,98.30022609,1.357757568359375,3.216000080108642,,229.1999969482422,9.8100004196167,1653542071000
7.98450253,98.30016328,1.14013671875,3.216000080108642,,226.6999969482422,9.600000381469727,1653542072000
7.9844429,98.30010187,1.221832275390625,3.216000080108642,,225.0,9.550000190734863,1653542073000
7.98438015,98.30004308,1.224578857421875,3.216000080108642,,223.10000610351562,9.479999542236328,1653542074000
7.98431429,98.29998369,1.077178955078125,3.216000080108642,,221.8000030517578,9.800000190734863,1653542075000
7.98424482,98.29992365,1.025634765625,3.216000080108642,,221.5,10.220000267028809,1653542076000
7.98417068,98.299857,0.9621276855468751,3.216000080108642,,221.1999969482422,10.819999694824219,1653542077000
7.98409553,98.29979137,0.93768310546875,3.216000080108642,,219.60000610351562,11.039999961853027,1653542078000
7.98401651,98.29972868,0.5966796875,3.216000080108642,,217.39999389648438,11.199999809265137,1653542079000
