frame,class,lat,lng
1106,Manhole covers,7.98485806,98.30078097
1107,Manhole covers,7.98483611,98.30069177
1108,Manhole covers,7.98483611,98.30069177
1109,Manhole covers,7.98483611,98.30069177
1110,Manhole covers,7.98483611,98.30069177
1111,Manhole covers,7.98483611,98.30069177
1112,Manhole covers,7.98483611,98.30069177
1113,Manhole covers,7.98483611,98.30069177
1114,Manhole covers,7.98483611,98.30069177
1115,Manhole covers,7.98483611,98.30069177
1116,Manhole covers,7.98483611,98.30069177
1117,Manhole covers,7.98483611,98.30069177
1118,Manhole covers,7.98483611,98.30069177
1119,Manhole covers,7.98483611,98.30069177
1120,Manhole covers,7.98483611,98.30069177
1121,Manhole covers,7.98483611,98.30069177
1123,Manhole covers,7.98483611,98.30069177
1125,Manhole covers,7.98483611,98.30069177
1126,Manhole covers,7.98483611,98.30069177
1141,Manhole covers,7.98480604,98.30060449
1142,Manhole covers,7.98480604,98.30060449
1143,Manhole covers,7.98480604,98.30060449
1145,Manhole covers,7.98480604,98.30060449
1159,Manhole covers,7.98480604,98.30060449
1172,Manhole covers,7.98476566,98.30052491
1182,Manhole covers,7.98476566,98.30052491
1183,Manhole covers,7.98476566,98.30052491
1184,Manhole covers,7.98476566,98.30052491
1185,Manhole covers,7.98476566,98.30052491
1186,Manhole covers,7.98476566,98.30052491
1187,Manhole covers,7.98476566,98.30052491
1188,Manhole covers,7.98476566,98.30052491
1189,Manhole covers,7.98476566,98.30052491
1190,Manhole covers,7.98476566,98.30052491
1191,Manhole covers,7.98476566,98.30052491
1192,Manhole covers,7.98476566,98.30052491
1193,Manhole covers,7.98472247,98.30044556
1194,Manhole covers,7.98472247,98.30044556
1195,Manhole covers,7.98472247,98.30044556
1196,Manhole covers,7.98472247,98.30044556
1197,Manhole covers,7.98472247,98.30044556
1198,Manhole covers,7.98472247,98.30044556
1199,Manhole covers,7.98472247,98.30044556
1208,Manhole covers,7.98472247,98.30044556
1209,Manhole covers,7.98472247,98.30044556
1210,Manhole covers,7.98472247,98.30044556
1211,Manhole covers,7.98472247,98.30044556
1212,Manhole covers,7.98472247,98.30044556
1213,Manhole covers,7.98472247,98.30044556
1214,Manhole covers,7.98472247,98.30044556
1215,Manhole covers,7.98472247,98.30044556
1216,Manhole covers,7.98467105,98.30036723
1217,Manhole covers,7.98467105,98.30036723
1218,Manhole covers,7.98467105,98.30036723
1219,Manhole covers,7.98467105,98.30036723
1220,Manhole covers,7.98467105,98.30036723
1221,Manhole covers,7.98467105,98.30036723
1222,Manhole covers,7.98467105,98.30036723
1223,Manhole covers,7.98467105,98.30036723
1225,Manhole covers,7.98467105,98.30036723
1226,Manhole covers,7.98467105,98.30036723
1227,Manhole covers,7.98467105,98.30036723
1228,Manhole covers,7.98467105,98.30036723
1230,Manhole covers,7.98467105,98.30036723
1231,Manhole covers,7.98467105,98.30036723
1232,Manhole covers,7.98467105,98.30036723
1233,Manhole covers,7.98467105,98.30036723
1234,Manhole covers,7.98467105,98.30036723
1235,Manhole covers,7.98467105,98.30036723
1236,Manhole covers,7.98467105,98.30036723
1237,Manhole covers,7.98467105,98.30036723
1238,Manhole covers,7.98467105,98.30036723
1239,Manhole covers,7.98467105,98.30036723
1240,Manhole covers,7.98467105,98.30036723
1241,Manhole covers,7.98467105,98.30036723
1242,Manhole covers,7.98467105,98.30036723
1243,Manhole covers,7.98467105,98.30036723
1244,Manhole covers,7.98467105,98.30036723
1245,Manhole covers,7.98467105,98.30036723
1249,Manhole covers,7.984617099999999,98.30029478
1256,Manhole covers,7.984617099999999,98.30029478
1258,Manhole covers,7.984617099999999,98.30029478
1259,Manhole covers,7.984617099999999,98.30029478
1260,Manhole covers,7.984617099999999,98.30029478
1261,Manhole covers,7.984617099999999,98.30029478
1262,Manhole covers,7.984617099999999,98.30029478
1263,Manhole covers,7.984617099999999,98.30029478
1264,Manhole covers,7.984617099999999,98.30029478
1265,Manhole covers,7.984617099999999,98.30029478
1266,Manhole covers,7.984617099999999,98.30029478
1267,Manhole covers,7.984617099999999,98.30029478
1268,Manhole covers,7.984617099999999,98.30029478
1269,Manhole covers,7.984617099999999,98.30029478
1270,Manhole covers,7.984617099999999,98.30029478
1271,Manhole covers,7.984617099999999,98.30029478
1272,Manhole covers,7.984617099999999,98.30029478
1273,Manhole covers,7.984617099999999,98.30029478
1274,Manhole covers,7.984617099999999,98.30029478
1275,Manhole covers,7.984617099999999,98.30029478
1276,Manhole covers,7.98455986,98.30022609
1277,Manhole covers,7.98455986,98.30022609
1278,Manhole covers,7.98455986,98.30022609
1279,Manhole covers,7.98455986,98.30022609
1280,Manhole covers,7.98455986,98.30022609
1281,Manhole covers,7.98455986,98.30022609
1282,Manhole covers,7.98455986,98.30022609
1283,Manhole covers,7.98455986,98.30022609
1284,Manhole covers,7.98455986,98.30022609
1285,Manhole covers,7.98455986,98.30022609
1286,Manhole covers,7.98455986,98.30022609
1287,Manhole covers,7.98455986,98.30022609
1288,Manhole covers,7.98455986,98.30022609
1289,Manhole covers,7.98455986,98.30022609
1292,Manhole covers,7.98455986,98.30022609
1293,Manhole covers,7.98455986,98.30022609
1294,Manhole covers,7.98455986,98.30022609
1295,Manhole covers,7.98455986,98.30022609
1296,Manhole covers,7.98455986,98.30022609
1297,Manhole covers,7.98455986,98.30022609
1298,Manhole covers,7.98455986,98.30022609
1299,Manhole covers,7.98455986,98.30022609
1300,Manhole covers,7.98455986,98.30022609
1301,Manhole covers,7.98455986,98.30022609
1302,Manhole covers,7.98455986,98.30022609
1303,Manhole covers,7.98455986,98.30022609
1304,Manhole covers,7.98450253,98.30016328
1305,Manhole covers,7.98450253,98.30016328
1340,Manhole covers,7.9844429,98.30010187
1341,Manhole covers,7.9844429,98.30010187
1342,Manhole covers,7.9844429,98.30010187
1343,Manhole covers,7.9844429,98.30010187
1344,Manhole covers,7.9844429,98.30010187
1345,Manhole covers,7.9844429,98.30010187
1346,Manhole covers,7.9844429,98.30010187
1347,Manhole covers,7.9844429,98.30010187
1348,Manhole covers,7.9844429,98.30010187
1349,Manhole covers,7.9844429,98.30010187
1350,Manhole covers,7.9844429,98.30010187
1351,Manhole covers,7.9844429,98.30010187
1352,Manhole covers,7.9844429,98.30010187
1353,Manhole covers,7.9844429,98.30010187
1354,Manhole covers,7.9844429,98.30010187
1355,Manhole covers,7.9844429,98.30010187
1361,Manhole covers,7.9844429,98.30010187
1362,Manhole covers,7.9844429,98.30010187
1363,Manhole covers,7.98438015,98.30004308
1364,Manhole covers,7.98438015,98.30004308
1365,Manhole covers,7.98438015,98.30004308
1366,Manhole covers,7.98438015,98.30004308
1367,Manhole covers,7.98438015,98.30004308
1368,Manhole covers,7.98438015,98.30004308
1369,Manhole covers,7.98438015,98.30004308
1370,Manhole covers,7.98438015,98.30004308
1371,Manhole covers,7.98438015,98.30004308
1372,Manhole covers,7.98438015,98.30004308
1373,Manhole covers,7.98438015,98.30004308
1374,Manhole covers,7.98438015,98.30004308
1375,Manhole covers,7.98438015,98.30004308
1376,Manhole covers,7.98438015,98.30004308
1377,Manhole covers,7.98438015,98.30004308
1378,Manhole covers,7.98438015,98.30004308
1379,Manhole covers,7.98438015,98.30004308
1380,Manhole covers,7.98438015,98.30004308
1381,Manhole covers,7.98438015,98.30004308
1382,Manhole covers,7.98431429,98.29998369
1383,Manhole covers,7.98431429,98.29998369
1384,Manhole covers,7.98431429,98.29998369
1385,Manhole covers,7.98431429,98.29998369
1386,Manhole covers,7.98431429,98.29998369
1387,Manhole covers,7.98431429,98.29998369
1388,Manhole covers,7.98431429,98.29998369
1389,Manhole covers,7.98431429,98.29998369
1390,Manhole covers,7.98431429,98.29998369
1391,Manhole covers,7.98431429,98.29998369
1392,Manhole covers,7.98431429,98.29998369
1393,Manhole covers,7.98431429,98.29998369
1394,Manhole covers,7.98431429,98.29998369
1395,Manhole covers,7.98431429,98.29998369
1396,Manhole covers,7.98431429,98.29998369
1397,Manhole covers,7.98431429,98.29998369
1398,Manhole covers,7.98431429,98.29998369
1399,Manhole covers,7.98431429,98.29998369
1400,Manhole covers,7.98431429,98.29998369
1401,Manhole covers,7.98431429,98.29998369
1402,Manhole covers,7.98431429,98.29998369
1403,Manhole covers,7.98431429,98.29998369
1404,Manhole covers,7.98431429,98.29998369
1406,Manhole covers,7.98431429,98.29998369
1430,Manhole covers,7.98424482,98.29992365
1431,Manhole covers,7.98424482,98.29992365
1433,Manhole covers,7.98424482,98.29992365
1437,Manhole covers,7.98424482,98.29992365
1439,Manhole covers,7.98417068,98.299857
1442,Manhole covers,7.98417068,98.299857
1443,Manhole covers,7.98417068,98.299857
1445,Manhole covers,7.98417068,98.299857
1446,Manhole covers,7.98417068,98.299857
1447,Manhole covers,7.98417068,98.299857
1448,Manhole covers,7.98417068,98.299857
1449,Manhole covers,7.98417068,98.299857
1450,Manhole covers,7.98417068,98.299857
1451,Manhole covers,7.98417068,98.299857
1452,Manhole covers,7.98417068,98.299857
1453,Manhole covers,7.98417068,98.299857
1454,Manhole covers,7.98417068,98.299857
1455,Manhole covers,7.98417068,98.299857
1456,Manhole covers,7.98417068,98.299857
1457,Manhole covers,7.98417068,98.299857
1458,Manhole covers,7.98417068,98.299857
1459,Manhole covers,7.98417068,98.299857
1460,Manhole covers,7.98417068,98.299857
1461,Manhole covers,7.98417068,98.299857
1462,Manhole covers,7.98417068,98.299857
1463,Manhole covers,7.98417068,98.299857
1464,Manhole covers,7.98417068,98.299857
1465,Manhole covers,7.98417068,98.299857
1466,Manhole covers,7.98417068,98.299857
1467,Manhole covers,7.98417068,98.299857
1476,Manhole covers,7.98409553,98.29979137
1481,Manhole covers,7.98409553,98.29979137
