frame,class
1401,Manhole covers
1402,Manhole covers
1403,Manhole covers
1404,Manhole covers
1406,Manhole covers
1430,Manhole covers
1431,Manhole covers
1433,Manhole covers
1437,Manhole covers
1439,Manhole covers
1442,Manhole covers
1443,Manhole covers
1445,Manhole covers
1446,Manhole covers
1447,Manhole covers
1448,Manhole covers
1449,Manhole covers
1450,Manhole covers
1451,Manhole covers
1452,Manhole covers
1453,Manhole covers
1454,Manhole covers
1455,Manhole covers
1456,Manhole covers
1457,Manhole covers
1458,Manhole covers
1459,Manhole covers
1460,Manhole covers
1461,Manhole covers
1462,Manhole covers
1463,Manhole covers
1464,Manhole covers
1465,Manhole covers
1466,Manhole covers
1467,Manhole covers
1476,Manhole covers
1481,Manhole covers
1482,Manhole covers
1483,Manhole covers
1484,Manhole covers
1485,Manhole covers
1486,Manhole covers
1487,Manhole covers
1488,Manhole covers
1489,Manhole covers
1490,Manhole covers
1491,Manhole covers
1492,Manhole covers
1493,Manhole covers
1505,Manhole covers
1518,Manhole covers
1519,Manhole covers
1520,Manhole covers
1544,Manhole covers
1545,Manhole covers
1546,Manhole covers
1547,Manhole covers
1549,Manhole covers
1550,Manhole covers
1551,Manhole covers
1552,Manhole covers
1553,Manhole covers
1560,Manhole covers
1562,Manhole covers
1563,Manhole covers
1565,Manhole covers
1566,Manhole covers
1567,Manhole covers
1568,Manhole covers
1569,Manhole covers
1571,Manhole covers
1572,Manhole covers
1573,Manhole covers
1574,Manhole covers
1575,Manhole covers
1576,Manhole covers
1579,Manhole covers
1584,Manhole covers
1590,Manhole covers
1594,Manhole covers
1595,Manhole covers
1596,Manhole covers
1597,Manhole covers
1598,Manhole covers
1599,Manhole covers
1600,Manhole covers
1601,Manhole covers
1602,Manhole covers
1603,Manhole covers
1604,Manhole covers
1605,Manhole covers
1606,Manhole covers
1607,Manhole covers
1608,Manhole covers
1609,Manhole covers
1610,Manhole covers
1634,Manhole covers
1640,Manhole covers
1641,Manhole covers
1642,Manhole covers
1643,Manhole covers
1644,Manhole covers
1645,Manhole covers
1647,Manhole covers
1668,Manhole covers
1703,Manhole covers
1718,Manhole covers
1722,Manhole covers
1723,Manhole covers
1724,Manhole covers
1732,Manhole covers
1735,Manhole covers
1736,Manhole covers
1737,Manhole covers
1738,Manhole covers
1739,Manhole covers
1740,Manhole covers
1741,Manhole covers
1743,Manhole covers
1744,Manhole covers
1745,Manhole covers
1747,Manhole covers
1749,Manhole covers
1750,Manhole covers
1751,Manhole covers
1752,Manhole covers
1753,Manhole covers
1754,Manhole covers
1755,Manhole covers
1756,Manhole covers
1757,Manhole covers
1758,Manhole covers
1759,Manhole covers
1760,Manhole covers
1761,Manhole covers
1762,Manhole covers
1763,Manhole covers
1764,Manhole covers
1765,Manhole covers
1806,Manhole covers
1807,Manhole covers
1808,Manhole covers
1809,Manhole covers
1814,Manhole covers
1815,Manhole covers
1816,Manhole covers
1817,Manhole covers
1818,Manhole covers
1819,Manhole covers
